Energy_Unit,Energy_density_Joule,Volume_m3,Event_freq_unit_per_day,Energy_Joule_per_day,Volume_m3_per_day,Duration_days,Intensity_Level,Intensity_Level_encoded,Energy_per_Volume
15.0,6.3914,5.0294,1.667,5.535199999999999,4.186,9,Intense,3,2.982463116872788
20.0,5.982,4.453,2.5,5.079,3.55,8,Moderate,2,4.491354143274197
6.0,5.008,4.627,1.148,3.577,3.195,5,Moderate,2,1.2967365463583316
11.0,4.966,4.154,2.75,4.364,3.552,4,Moderate,2,2.6480500722195477
24.0,4.748,4.66,4.0,3.97,3.882,6,Moderate,2,5.150214592274678
6.0,5.593,4.809,0.75,4.69,3.906,8,Moderate,2,1.2476606363069245
11.0,5.724,4.251,0.846,4.61,3.137,13,Moderate,2,2.58762644083745
8.0,5.219,4.552,0.5,4.015,3.348,16,Moderate,2,1.7574692442882252
11.0,4.029,4.944,1.222,3.075,3.99,9,Slight,1,2.2249190938511325
11.0,3.973,3.769,0.846,2.859,2.6635,13,Stable,0,2.918546033430618
2.5,4.78,3.375,1.0,4.78,2.985,3,Stable,0,0.7407407407407407
5.0,4.04,3.555,2.5,3.739,3.254,3,Stable,0,1.4064697609001406
5.0,3.154,3.375,2.5,2.853,3.008,3,Stable,0,1.4814814814814814
3.0,3.616,4.603,0.47750000000000004,2.771,3.758,7,Stable,0,0.651748859439496
3.0,4.376,4.079,1.5,4.075,3.778,3,Stable,0,0.7354743809757294
2.5,2.79,4.31,1.0,2.3695,4.186,3,Stable,0,0.580046403712297
2.5,2.79,3.375,2.0,2.61,2.925,3,Stable,0,0.7407407407407407
2.5,5.16,3.375,0.47750000000000004,3.905,2.6635,16,Stable,0,0.7407407407407407
3.0,3.493,4.857,0.47750000000000004,2.451,3.816,11,Stable,0,0.6176652254478072
6.0,4.594,4.743,0.5,3.514,3.664,12,Stable,0,1.265022137887413
8.0,2.79,3.375,1.143,2.3695,2.6635,7,Stable,0,2.3703703703703702
45.99999999999996,6.147,5.0294,4.719999999999985,5.147,4.152,10,Intense,3,9.146220225076542
44.0,5.459,4.865,2.933,4.283,3.689,15,Intense,3,9.044193216855087
21.0,3.543,4.732,1.167,2.3695,3.477,16,Moderate,2,4.437869822485207
3.0,5.06,4.438,0.47750000000000004,4.215,3.593,7,Moderate,2,0.6759801712483101
19.0,3.68,4.832,1.9,2.68,3.832,10,Moderate,2,3.9321192052980134
23.0,4.408,4.873,2.556,3.454,3.918,9,Moderate,2,4.719885081058896
12.0,5.098,3.516,1.714,4.253,2.671,7,Moderate,2,3.4129692832764507
22.0,4.736,4.133,0.957,3.374,2.771,16,Slight,1,5.323009920154851
8.0,4.132,3.504,0.615,3.018,2.6635,13,Slight,1,2.2831050228310503
29.0,3.882,4.156,2.9,2.882,3.156,10,Slight,1,6.977863330125121
20.0,4.76,3.843,1.25,3.556,2.6635,16,Slight,1,5.204267499349466
12.0,3.543,4.223,4.0,3.066,3.746,3,Slight,1,2.8415818138763913
6.0,5.561,4.043,1.0,4.783,3.265,6,Slight,1,1.4840465001236705
6.0,4.368,3.497,0.75,3.465,2.6635,8,Slight,1,1.7157563625965113
7.0,5.269,4.817,0.7,4.269,3.817,10,Slight,1,1.4531866306829977
7.0,5.4,3.919,1.75,4.798,3.317,4,Slight,1,1.786169941311559
4.0,5.82,3.728,0.47750000000000004,4.706,2.6635,13,Stable,0,1.0729613733905579
17.0,4.619,4.844,1.214,3.473,3.698,14,Stable,0,3.5094962840627577
10.0,4.008,3.375,2.0,3.309,2.6635,5,Stable,0,2.962962962962963
11.0,4.11,3.624,2.2,3.411,2.925,5,Intense,3,3.0353200883002205
29.0,5.513,4.777,4.719999999999985,4.814,4.078,5,Intense,3,6.070755704416998
36.0,4.729,4.336,2.571,2.583,3.16,14,Moderate,2,8.302583025830257
8.0,5.204,3.977,2.667,4.727,3.5,3,Slight,1,2.0115665074176516
16.0,3.621,4.681,2.667,2.843,3.903,6,Slight,1,3.4180730613116856
6.0,5.3,3.375,1.5,4.698,2.6635,4,Stable,0,1.7777777777777777
