Energy_Unit_log,Event_freq_unit_per_day_log,Duration_days_log,Energy_per_Volume_log,Energy_density_Joule,Volume_m3,Energy_Joule_per_day,Volume_m3_per_day,Intensity_Level_encoded,Intensity_Level
1.6094379124341003,0.5877866649021191,1.791759469228055,0.672200836924577,4.737,4.173,4.038,3.474,0,Stable
1.252762968495368,0.3903514702981162,1.3862943611198906,0.4823557399673821,2.79,4.033,2.3695,3.556,0,Stable
1.252762968495368,0.3903514702981162,1.9459101490553132,0.49966688872818094,2.79,3.857,2.3695,3.079,0,Stable
1.252762968495368,0.6931471805599453,1.3862943611198906,0.5543107357057295,2.79,3.375,2.3695,2.6635,0,Stable
1.791759469228055,0.3903514702981162,2.4849066497880004,0.8282567495913834,2.79,3.878,2.3695,2.836,0,Stable
1.6094379124341003,0.3903514702981162,2.302585092994046,0.7817005779013904,2.79,3.375,2.3695,2.6635,0,Stable
1.252762968495368,0.3903514702981162,1.6094379124341003,0.5461153425582611,2.79,3.441,2.3695,2.839,0,Stable
1.3862943611198906,0.5596157879354227,1.6094379124341003,0.5826189982255696,4.211,3.794,3.609,3.192,0,Stable
1.252762968495368,0.6931471805599453,1.3862943611198906,0.5543107357057295,2.79,3.375,2.3695,2.949,0,Stable
3.8501476017100575,1.743968805391704,1.6094379124341003,2.323290176601964,6.3914,4.995,5.535199999999999,4.186,3,Intense
3.8501476017100575,1.5314763709643886,2.833213344056216,2.326909945849962,6.3914,4.975,5.535199999999999,3.771,3,Intense
3.8501476017100575,1.743968805391704,2.1972245773362196,2.3171012445147445,6.373,5.0294,5.47,4.186,3,Intense
3.1354942159291497,1.1631508098056809,2.3978952727983707,1.7037261197427322,5.859,4.895,4.859,3.895,3,Intense
2.3978952727983707,0.8109302162163288,2.1972245773362196,1.0947075901058958,6.3914,5.0294,5.535199999999999,4.178,3,Intense
2.772588722239781,0.9809542451998773,2.302585092994046,1.38190050145919,6.3914,5.0294,5.535199999999999,4.186,3,Intense
3.044522437723423,1.252762968495368,2.1972245773362196,1.7031748814408647,5.982,4.453,5.079,3.55,2,Moderate
1.9459101490553132,0.7645371766466182,1.791759469228055,0.8314892224656956,5.008,4.627,3.577,3.195,2,Moderate
2.4849066497880004,1.3217558399823195,1.6094379124341003,1.2941927980552612,4.966,4.154,4.364,3.552,2,Moderate
3.2188758248682006,1.6094379124341003,1.9459101490553132,1.8164869742624714,4.748,4.66,3.97,3.882,2,Moderate
1.9459101490553132,0.5596157879354227,2.1972245773362196,0.8098899581385403,5.593,4.809,4.69,3.906,2,Moderate
2.4849066497880004,0.6130211360806603,2.6390573296152584,1.2774908252973936,5.724,4.251,4.61,3.137,2,Moderate
2.1972245773362196,0.4054651081081644,2.833213344056216,1.0143133186067017,5.219,4.552,4.015,3.348,2,Moderate
2.4849066497880004,0.7984076912174383,2.302585092994046,1.170907862755104,4.029,4.944,3.075,3.99,1,Slight
2.4849066497880004,0.6130211360806603,2.6390573296152584,1.3657206751591748,3.973,3.769,2.859,2.6635,0,Stable
1.252762968495368,0.6931471805599453,1.3862943611198906,0.5543107357057295,4.78,3.375,4.78,2.985,0,Stable
1.791759469228055,1.252762968495368,1.3862943611198906,0.8781608440889526,4.04,3.555,3.739,3.254,0,Stable
1.791759469228055,1.252762968495368,1.3862943611198906,0.9088557533866369,3.154,3.375,2.853,3.008,0,Stable
1.3862943611198906,0.3903514702981162,2.0794415416798357,0.5018346414111953,3.616,4.603,2.771,3.758,0,Stable
1.3862943611198906,0.9162907318741551,1.3862943611198906,0.5512807944566308,4.376,4.079,4.075,3.778,0,Stable
1.252762968495368,0.6931471805599453,1.3862943611198906,0.4574542160457646,2.79,4.31,2.3695,4.186,0,Stable
1.252762968495368,1.0986122886681098,1.3862943611198906,0.5543107357057295,2.79,3.375,2.61,2.925,0,Stable
1.252762968495368,0.3903514702981162,2.833213344056216,0.5543107357057295,5.16,3.375,3.905,2.6635,0,Stable
1.3862943611198906,0.3903514702981162,2.4849066497880004,0.4809838908300767,3.493,4.857,2.451,3.816,0,Stable
1.9459101490553132,0.4054651081081644,2.5649493574615367,0.8175845327889606,4.594,4.743,3.514,3.664,0,Stable
2.1972245773362196,0.76220671649144,2.0794415416798357,1.2150226405125208,2.79,3.375,2.3695,2.6635,0,Stable
3.8501476017100575,1.743968805391704,2.3978952727983707,2.3171012445147445,6.147,5.0294,5.147,4.152,3,Intense
3.8066624897703196,1.3694024934496725,2.772588722239781,2.3069946781528308,5.459,4.865,4.283,3.689,3,Intense
3.091042453358316,0.773343722554222,2.833213344056216,1.6933874074326136,3.543,4.732,2.3695,3.477,2,Moderate
1.3862943611198906,0.3903514702981162,2.0794415416798357,0.5163981709924761,5.06,4.438,4.215,3.593,2,Moderate
2.995732273553991,1.0647107369924282,2.3978952727983707,1.5957687547784674,3.68,4.832,2.68,3.832,2,Moderate
3.1780538303479458,1.2686363176516582,2.302585092994046,1.743948714465916,4.408,4.873,3.454,3.918,2,Moderate
2.5649493574615367,0.9984235614126774,2.0794415416798357,1.4845477697547902,5.098,3.516,4.253,2.671,2,Moderate
3.1354942159291497,0.6714126884139392,2.833213344056216,1.8441953479752693,4.736,4.133,3.374,2.771,1,Slight
2.1972245773362196,0.47933495667461984,2.6390573296152584,1.1887896279045458,4.132,3.504,3.018,2.6635,1,Slight
3.4011973816621555,1.3609765531356006,2.3978952727983707,2.076670622492299,3.882,4.156,2.882,3.156,1,Slight
3.044522437723423,0.8109302162163288,2.833213344056216,1.825237361623563,4.76,3.843,3.556,2.6635,1,Slight
2.5649493574615367,1.6094379124341003,1.3862943611198906,1.3458842124764554,3.543,4.223,3.066,3.746,1,Slight
1.9459101490553132,0.6931471805599453,1.9459101490553132,0.909888883752568,5.561,4.043,4.783,3.265,1,Slight
1.9459101490553132,0.5596157879354227,2.1972245773362196,0.9990705011795766,4.368,3.497,3.465,2.6635,1,Slight
2.0794415416798357,0.5306282510621704,2.3978952727983707,0.8973878450087948,5.269,4.817,4.269,3.817,1,Slight
2.0794415416798357,1.0116009116784799,1.6094379124341003,1.0246678718144349,5.4,3.919,4.798,3.317,1,Slight
1.6094379124341003,0.3903514702981162,2.6390573296152584,0.7289782000868722,5.82,3.728,4.706,2.6635,0,Stable
2.8903717578961645,0.7948008342864451,2.70805020110221,1.5061854585990613,4.619,4.844,3.473,3.698,0,Stable
2.3978952727983707,1.0986122886681098,1.791759469228055,1.376991968457577,4.008,3.375,3.309,2.6635,0,Stable
2.4849066497880004,1.1631508098056809,1.791759469228055,1.3950856265310614,4.11,3.624,3.411,2.925,3,Intense
3.4011973816621555,1.743968805391704,1.791759469228055,1.9559673630812784,5.513,4.777,4.814,4.078,3,Intense
3.6109179126442243,1.2728456686123115,2.70805020110221,2.2302921063082186,4.729,4.336,2.583,3.16,2,Moderate
2.1972245773362196,1.2993738890891888,1.3862943611198906,1.1024603777398163,5.204,3.977,4.727,3.5,1,Slight
2.833213344056216,1.2993738890891888,1.9459101490553132,1.485703642052606,3.621,4.681,2.843,3.903,1,Slight
1.9459101490553132,0.9162907318741551,1.6094379124341003,1.0216512475319812,5.3,3.375,4.698,2.6635,0,Stable
